2013-06-18 09:26:05 +0300: Directory /home/jazu4nuk/coding/LAMP-085/rails_app/app/rec does not exist
2013-06-18 09:27:47 +0300: Archive 'roman.horobets_creational.patterns.7z' have successfully processed
2013-06-18 09:27:58 +0300: Archive 'roman.horobets_final.tasks.zip' have successfully processed
2013-06-18 09:28:04 +0300: Archive 'pavlo.petryk_final.tasks.7z' have successfully processed
2013-06-18 09:28:07 +0300: Archive 'roman.horobets_iterators.in.ruby.zip' have successfully processed
2013-06-18 09:28:10 +0300: Archive 'julia.tymo_creational.patterns.7z' have successfully processed
2013-06-18 09:28:13 +0300: Archive 'julia.tymo_iterators.in.ruby.zip' have successfully processed
2013-06-18 09:28:15 +0300: Archive 'pavlo.petryk_creational.patterns.zip' have successfully processed
2013-06-18 09:29:52 +0300: Archive 'Bernardo.Batista_Accounting.Manager.zip' have successfully processed
2013-06-18 09:29:55 +0300: Archive 'Horst.Kloss_Accounting.Manager.zip' have successfully processed
2013-06-18 09:30:04 +0300: Archive 'Paul.Henriot_Accounting.Manager.zip' have successfully processed
2013-06-18 09:30:15 +0300: Archive 'Rene.Phillips_Sales.Representative.zip' have successfully processed
2013-06-18 09:30:17 +0300: Archive 'Karin.Josephs_Marketing.Manager.zip' have successfully processed
2013-06-18 09:30:23 +0300: Archive 'Henriette.Pfalzheim_Owner.zip' have successfully processed
2013-06-18 09:30:27 +0300: Archive 'Liu.Wong_Marketing.Assistant.zip' have successfully processed
2013-06-18 09:30:30 +0300: Archive 'Jytte.Petersen_Owner.zip' have successfully processed
2013-06-18 09:30:35 +0300: Archive 'Yvonne.Moncada_Sales.Agent.zip' have successfully processed
2013-06-18 09:30:41 +0300: Archive 'Karl.Jablonski_Owner.zip' have successfully processed
2013-06-18 09:30:54 +0300: Archive 'Maurizio.Moroni_Sales.Associate.zip' have successfully processed
2013-06-18 09:30:59 +0300: Archive 'Hari.Kumar_Sales.Manager.zip' have successfully processed
2013-06-18 09:31:10 +0300: Archive 'Alejandra.Camino_Accounting.Manager.zip' have successfully processed
2013-06-18 09:31:15 +0300: Archive 'Georg.Pipps_Sales.Manager.zip' have successfully processed
2013-06-18 09:31:23 +0300: Archive 'Jose.Pavarotti_Sales.Representative.zip' have successfully processed
2013-06-18 09:31:30 +0300: Archive 'Simon.Crowther_Sales.Associate.zip' have successfully processed
2013-06-18 09:31:32 +0300: Archive 'Anabela.Domingues_Sales.Representative.zip' have successfully processed
2013-06-18 09:31:41 +0300: Archive 'Felipe.Izquierdo_Owner.zip' have successfully processed
2013-06-18 09:31:45 +0300: Archive 'Palle.Ibsen_Sales.Manager.zip' have successfully processed
2013-06-18 09:31:50 +0300: Archive 'Mary.Saveley_Sales.Agent.zip' have successfully processed
2013-06-18 09:31:55 +0300: Archive 'Alexander.Feuer_Marketing.Assistant.zip' have successfully processed
2013-06-18 09:31:59 +0300: Archive 'Art.Braunschweiger_Sales.Manager.zip' have successfully processed
2013-06-18 09:32:04 +0300: Archive 'Giovanni.Rovelli_Marketing.Manager.zip' have successfully processed
2013-06-18 09:32:09 +0300: Archive 'Paula.Parente_Sales.Manager.zip' have successfully processed
2013-06-18 09:32:14 +0300: Archive 'Helvetius.Nagy_Sales.Associate.zip' have successfully processed
2013-06-18 09:32:17 +0300: Archive 'Michael.Holz_Sales.Manager.zip' have successfully processed
2013-06-18 09:32:20 +0300: Archive 'Jonas.Bergulfsen_Owner.zip' have successfully processed
2013-06-18 09:32:27 +0300: Archive 'Catherine.Dewey_Sales.Agent.zip' have successfully processed
2013-06-18 09:32:30 +0300: Archive 'Marie.Bertrand_Owner.zip' have successfully processed
2013-06-18 09:32:32 +0300: Archive 'Pirkko.Koskitalo_Accounting.Manager.zip' have successfully processed
2013-06-18 09:32:37 +0300: Archive 'Pascale.Cartrain_Accounting.Manager.zip' have successfully processed
2013-06-18 09:32:42 +0300: Archive 'Paula.Wilson_Assistant.Sales.Representative.zip' have successfully processed
2013-06-18 09:32:53 +0300: Archive 'Dominique.Perrier_Marketing.Manager.zip' have successfully processed
2013-06-18 09:32:57 +0300: Archive 'Fran.Wilson_Sales.Manager.zip' have successfully processed
2013-06-18 09:33:01 +0300: Archive 'Janete.Limeira_Assistant.Sales.Agent.zip' have successfully processed
2013-06-18 09:33:05 +0300: Archive 'Liz.Nixon_Marketing.Manager.zip' have successfully processed
